feature_names,PC1,PC2,PC3,PC4,PC5,PC6,cluster
experimental r&b,-0.02092195860245725,0.005827040655300728,0.00846458736458052,-0.015986182189497072,0.02704487540079753,0.03122654596696107,0
afrofuturism,-0.04078764037242355,-0.00391011146488105,0.029965841895453385,-0.059841972009943865,0.05123027149112254,0.03728899616965998,0
experimental house,-0.0015517673672554113,0.00046814577324057427,0.0008899836400693144,-9.322495086185296e-05,0.002753296125577417,0.002908645732508483,0
transpop,0.00014348712183423376,0.0023779466726712014,0.0002321638662393593,0.002862982907972023,0.005588374041225932,0.00933399112271264,0
bedroom pop,-0.01574246464311047,0.05708293788227326,-0.05069878001721829,0.040109796674499515,-0.03318691821960141,0.013846243517493601,0
bubblegrunge,0.04001183507118362,0.17345051916423865,-0.1613810932977731,0.028637244842079614,-0.27780139990509595,0.22495597223533048,3
pov: indie,0.021770564519298628,0.124426410786078,-0.036874112127446027,0.14603326508516623,-0.09339846107699667,-0.04613607847257258,2
gen z singer-songwriter,-0.008334180494114721,0.00784657503764373,-0.009451490143247981,0.019964073031572903,-0.004567969089858594,-0.012836500818743346,0
experimental indie,-0.004718306387265882,0.00718733733697738,-0.000874245475764621,0.009168790400206378,0.004602642900141258,0.005452489168682806,0
shimmer psych,-0.0040355222053687,0.005869363404959503,0.004129978011499609,0.007023196352769139,0.008121326876318969,0.014272170930111062,0
experimental pop,0.0025944818052632927,0.026203411080636885,0.027026487183765678,0.010585426164913378,0.029120507767884073,0.07641421920269387,0
cloud rap,-0.000733121620531983,0.00030472022113489747,0.00011496521940450319,0.0012080108558314053,0.0007485603201024423,-0.00039055785361566837,0
proto-hyperpop,-0.0014465129249485518,0.001089022309474476,0.0006984205995529332,0.00035419626506547124,0.002243080971281075,0.004753824053464889,0
la pop,-0.019485340899290944,0.02555727117668461,0.0063277130771370645,0.038294043369996505,0.029940367373224093,-0.0037660268370083324,0
neo-synthpop,0.01713684281575568,0.03253667246160052,0.15774749148739506,0.04833796642522098,0.03743964074257856,-0.010310623558704308,2
grave wave,-0.003018387573036407,0.0013435152358918564,0.0069535779433201736,0.004851317540384115,0.004723817762217969,0.0031438368896348073,0
canadian electropop,-0.003784506046529086,0.0014505106748595507,0.004604149381653565,0.004480035746624003,0.004963176749490624,0.0011241523811590152,0
pop soul,-0.010521818697357329,-0.010612738345054816,0.0025750396575347475,-0.0019377416263830127,0.010715248962211162,-0.0005149891352832289,0
swedish synthpop,-0.002158192849384397,0.0009236573450949958,0.0018269600177815918,0.0016984953881041646,0.003313602459505658,-0.0020992599205562823,0
swedish electropop,-0.006258058521648134,0.0011910973323674935,0.007348562162168306,0.011446380089287968,0.007487381033595,-0.009963832041212085,0
gothenburg indie,0.0015125184412175408,0.0012115230451195313,-0.002075658691227722,-0.005218817925085939,0.003400085931583378,-0.009276454816694452,0
electronica,-0.007999891050376066,0.008122878800013578,0.07251202124244555,-0.0007824355509617468,0.017867651745606714,0.034425046469941226,0
downtempo,-0.006134937158597941,0.003376381936819883,0.01837319443743525,-0.0018876930495140562,0.013020636819522563,0.011234978400961073,0
scandinavian r&b,-0.0014299264260072989,-0.0008260949751155664,9.294666209958292e-05,0.0003227776716284197,0.0017618229282955892,0.002250941730403259,0
neo soul,-0.057272552512713217,-0.030583349225144905,0.023805724793220153,-0.09325409596653375,0.05037476054485529,0.024111131193881676,0
electropop,-0.026961949475758203,0.007537959934800525,0.03192238765324239,0.03460552101919343,0.03535179568790498,-0.031194764380613166,0
british soul,-0.008524644654903126,-0.012118751789732282,0.003584954656396952,-0.003222147813024868,0.014621560251400465,0.011962450037725753,0
uk contemporary r&b,-0.016867841598581873,0.003145599570410864,0.005051444870836537,-0.00816010455903927,0.01620714803795239,0.006139410764435253,0
bedroom soul,-0.01807271964653388,0.006637275526349869,-0.005220469377646463,-0.0027457214831360433,0.00467757243846317,0.005557031352989361,0
vapor pop,-0.002672313747507396,0.00048281611487777234,0.0032206535062308797,-0.0017678173149465323,0.0029473945594486292,0.0020377135432272557,0
spectra,-0.0003976993398131658,0.00501522199947536,0.0002646218776017408,0.0006656687318088148,0.00649964164381578,0.012729123347625092,0
gauze pop,-0.004496626035631263,0.0010080615219857931,0.007893441594129587,2.2599636048634356e-05,0.002706082976703118,-0.003605447150375628,0
boston folk,-0.003777792350970001,0.005147635702189456,-0.012009400400455538,0.012164053791157675,-0.004285993475759416,-0.013142746549245299,0
singer-songwriter pop,-0.007553118739556865,0.005407619500105369,-0.012263599315773943,0.018491969156506867,-0.0054232264558339745,-0.021859428510810037,0
modern alternative pop,-0.019029107201559016,0.023080566022010862,-0.010012043173429378,0.053000473994278395,0.007338058062962643,-0.0267188239800939,0
ontario indie,-0.00020406949777802892,-0.00043580284005494536,0.0007529862718058026,0.0008557707060583778,-0.004594324216019156,-0.002592708865104464,0
louisville indie,0.0039257205543885305,0.006190897714826098,-0.016664709988140826,-0.003930290036037521,-0.008843333500629687,-0.00026419511967061836,0
small room,0.06136325058893385,0.1221223181678253,-0.1785174321327762,-0.030957957153716267,-0.1391611603544849,0.08165122749129071,3
portland indie,0.014961938096863872,0.021915113516042046,-0.028611415375432842,-0.013165773194389144,-0.034639015230102044,0.007195924523777645,0
indie rock,0.48216786751470514,0.23535441649876956,0.23072991682059038,-0.13447452376871483,-0.0779072724813432,0.007233239035874274,4
dream pop,0.047622772295957225,0.03721222429670562,0.06288305482693025,-0.00668886847222961,-0.02144636371019953,0.1272939801462206,0
alternative rock,0.21794957872874623,-0.05304617040430432,0.2615712242783751,-0.06485330019904323,-0.30773697898262825,0.01499649562236708,4
modern dream pop,-0.00495664196223048,0.033780215880355166,0.014063842512609462,0.04581102392939613,-0.006416966282305485,0.02111945942959653,0
ethereal wave,0.0028312315074349643,0.00250018589171522,0.008646238161373037,0.0027930616624293634,-0.005577505209905025,0.023778534756023748,0
melancholia,0.13530993121495682,-0.03580367119585638,0.004017164886464606,-0.06199853762369177,0.0331600013883905,0.015533505959324501,0
chamber pop,0.4812388170461345,0.11435230679221473,-0.07539615386341358,-0.23682855325080618,0.23050801152416836,-0.213260723540274,4
post-rock,0.0010322769851232347,0.0006072870424394079,0.0029226427373080037,-0.0020105454795588304,-0.00020398802611309508,-0.0004429674345642724,0
nordic post-rock,0.0006851050862761502,0.0010499833603886555,0.002027058967386421,-0.0005805225078905509,0.001622202627329266,0.0009294029824219224,0
baroque pop,0.07426282746734289,-0.0027031781705909932,0.03627595873157046,0.002465338408155067,0.02897898992105801,-0.0038054294497446043,0
